,property_id,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
17312,20400116,2950,229900,HOUSE,HOUSE,2,100.0,0.0,1,13.0,115.0,2.0,0,190.0,NOT_INSTALLED,TO_RENOVATE
17313,20157852,1730,435000,HOUSE,VILLA,2,196.0,0.0,0,25.0,0.0,4.0,0,975.0,SEMI_EQUIPPED,GOOD
17314,20146535,1730,349000,HOUSE,TOWN_HOUSE,3,105.0,0.0,0,7.0,0.0,2.0,0,99.0,HYPER_EQUIPPED,AS_NEW
17315,20401057,9230,457000,HOUSE,HOUSE,4,158.0,0.0,0,12.0,142.0,3.0,0,221.0,INSTALLED,UNKNOWN
17316,20399655,1000,395000,APARTMENT,APARTMENT,2,93.0,0.0,0,13.0,45.0,2.0,0,0.0,USA_INSTALLED,AS_NEW
17317,10917046,9320,332500,APARTMENT,DUPLEX,2,160.0,0.0,0,43.0,0.0,3.0,0,0.0,HYPER_EQUIPPED,AS_NEW
17318,11036448,2650,190000,APARTMENT,GROUND_FLOOR,2,93.0,0.0,0,13.0,0.0,2.0,0,0.0,SEMI_EQUIPPED,GOOD
17319,20397325,9230,395000,APARTMENT,APARTMENT,4,131.0,0.0,0,20.0,0.0,2.0,0,0.0,INSTALLED,UNKNOWN
17321,20284782,9320,419000,HOUSE,HOUSE,3,234.0,0.0,0,30.0,0.0,3.0,1,328.0,INSTALLED,GOOD
17322,20294787,9320,259000,HOUSE,HOUSE,2,108.0,0.0,0,30.0,718.0,0.0,0,790.0,UNKNOWN,JUST_RENOVATED
17323,20181939,2650,299000,APARTMENT,APARTMENT,3,112.0,0.0,0,15.0,0.0,2.0,0,0.0,INSTALLED,GOOD
17324,20241609,2650,384950,HOUSE,HOUSE,3,160.0,0.0,0,21.0,70.0,2.0,0,170.0,SEMI_EQUIPPED,TO_BE_DONE_UP
17325,20360086,2650,475000,HOUSE,MIXED_USE_BUILDING,2,268.0,0.0,0,30.0,0.0,3.0,0,184.0,UNKNOWN,GOOD
17326,20400263,9230,185000,HOUSE,HOUSE,2,80.0,0.0,0,12.0,0.0,2.0,1,80.0,INSTALLED,TO_RENOVATE
17327,20401056,9230,404500,HOUSE,HOUSE,3,126.0,0.0,0,12.0,76.0,2.0,0,0.0,INSTALLED,UNKNOWN
17328,20369759,9320,375000,HOUSE,HOUSE,4,216.0,0.0,0,25.0,0.0,2.0,0,350.0,HYPER_EQUIPPED,UNKNOWN
17329,20401996,9470,195000,APARTMENT,APARTMENT,1,64.0,0.0,0,10.0,0.0,0.0,0,0.0,INSTALLED,GOOD
17330,20401053,9230,452000,HOUSE,HOUSE,4,158.0,0.0,0,12.0,143.0,3.0,0,222.0,INSTALLED,UNKNOWN
17331,20276606,9320,279000,HOUSE,HOUSE,3,150.0,0.0,0,20.0,0.0,3.0,1,180.0,INSTALLED,GOOD
17332,20316344,9230,740000,HOUSE,HOUSE,4,252.0,0.0,1,40.0,1292.0,4.0,0,1481.0,SEMI_EQUIPPED,TO_BE_DONE_UP
17333,20399722,1000,725000,HOUSE,APARTMENT_BLOCK,4,334.0,0.0,0,10.0,0.0,2.0,1,94.0,NOT_INSTALLED,TO_RENOVATE
17334,20357948,9880,398000,HOUSE,HOUSE,4,151.0,0.0,0,21.0,0.0,0.0,0,378.0,UNKNOWN,GOOD
17335,20181204,4100,149900,HOUSE,HOUSE,3,92.0,0.0,0,10.0,100.0,3.0,1,250.0,INSTALLED,GOOD
17336,20358510,9880,398000,HOUSE,HOUSE,4,151.0,0.0,0,21.0,0.0,0.0,0,378.0,UNKNOWN,GOOD
17337,20118824,9880,499000,APARTMENT,APARTMENT,3,132.0,0.0,0,42.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN
17338,20361246,7800,150000,HOUSE,HOUSE,2,126.0,0.0,0,21.0,0.0,4.0,0,0.0,UNKNOWN,GOOD
17339,20303265,9420,279000,HOUSE,HOUSE,4,242.0,0.0,0,30.0,0.0,2.0,0,632.0,INSTALLED,TO_RENOVATE
17340,20361960,4100,179000,HOUSE,MIXED_USE_BUILDING,5,288.0,0.0,0,30.0,0.0,2.0,1,105.0,NOT_INSTALLED,TO_BE_DONE_UP
17341,20401962,9420,270000,HOUSE,HOUSE,3,157.0,0.0,0,21.0,500.0,3.0,0,714.0,INSTALLED,TO_BE_DONE_UP
17342,10448904,9880,145000,APARTMENT,APARTMENT,1,67.0,0.0,0,10.0,0.0,0.0,0,0.0,UNKNOWN,GOOD
17344,10919513,7800,228500,APARTMENT,APARTMENT,2,90.0,0.0,0,15.0,0.0,0.0,0,0.0,NOT_INSTALLED,UNKNOWN
17345,20350718,2812,395000,HOUSE,HOUSE,5,210.0,0.0,0,25.0,0.0,0.0,0,183.0,INSTALLED,GOOD
17346,20311490,4100,99000,HOUSE,HOUSE,2,81.0,0.0,0,12.0,0.0,2.0,1,83.0,INSTALLED,TO_BE_DONE_UP
17347,20286685,9420,195000,HOUSE,HOUSE,3,101.0,0.0,0,13.0,0.0,3.0,1,544.0,NOT_INSTALLED,TO_RENOVATE
17348,20400474,4100,179900,HOUSE,HOUSE,6,217.0,0.0,0,28.0,136.0,2.0,1,220.0,INSTALLED,TO_BE_DONE_UP
17351,20122600,4100,175000,HOUSE,HOUSE,3,117.0,0.0,0,20.0,93.0,2.0,1,165.0,INSTALLED,JUST_RENOVATED
17352,20302877,7800,190000,HOUSE,HOUSE,3,157.0,0.0,0,21.0,0.0,4.0,0,0.0,UNKNOWN,UNKNOWN
17354,20401410,7090,295000,HOUSE,HOUSE,2,89.0,0.0,0,12.0,0.0,4.0,1,660.0,INSTALLED,UNKNOWN
17355,20331589,7090,180000,APARTMENT,APARTMENT,1,65.0,0.0,0,10.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN
17359,20364658,2812,429000,HOUSE,HOUSE,3,130.0,0.0,0,15.0,175.0,2.0,0,384.0,HYPER_EQUIPPED,AS_NEW
17360,20372301,4100,349000,APARTMENT,APARTMENT,3,116.0,0.0,0,5.0,0.0,0.0,1,0.0,INSTALLED,AS_NEW
17361,20297815,1400,690000,HOUSE,HOUSE,3,160.0,0.0,0,21.0,0.0,4.0,0,944.0,INSTALLED,AS_NEW
17362,20161524,1082,250000,APARTMENT,APARTMENT,2,87.0,0.0,0,12.0,0.0,3.0,1,0.0,HYPER_EQUIPPED,AS_NEW
